ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
"LJ. BEŽIGRAD, SAVSKO NASELJE",Prodaja,Stanovanje,trisobno,1957,,71.7,185000.0,MESTO NEPREMIČNIN d.o.o.
"LJ. BEŽIGRAD, SAVSKO NASELJE",Prodaja,Stanovanje,triinpolsobno,1957,,80.8,185000.0,Mreža nepremičnin d.o.o.
"LJ. BEŽIGRAD, SMOLETOVA ULICA",Prodaja,Stanovanje,štirisobno,1967,,83.8,224000.0,Nepremičnine Plus d.o.o.
LJ. CENTER,Prodaja,Stanovanje,enosobno,1981,,41.18,148000.0,MESTO NEPREMIČNIN d.o.o.
LJ. CENTER,Prodaja,Stanovanje,dvosobno,2020,,57.7,229376.0,"Stoja trade, d.o.o., Ljubljana"
LJ. CENTER,Prodaja,Stanovanje,dvosobno,2020,,59.05,259915.0,"Stoja trade, d.o.o., Ljubljana"
LJ. CENTER,Prodaja,Stanovanje,trisobno,2019,,61.8,329914.41,"GB nepremičnine, Goran Barišić s.p."
LJ. CENTER,Prodaja,Stanovanje,dvosobno,1929,,81.4,240000.0,LJUBLJANA NEPREMIČNINE d.o.o.
LJ. CENTER,Prodaja,Stanovanje,trisobno,1962,,85.8,284000.0,Avenija nepremičnin d.o.o.
LJ. CENTER,Prodaja,Stanovanje,trisobno,2020,,89.36,362985.0,"Stoja trade, d.o.o., Ljubljana"
LJ. CENTER,Prodaja,Stanovanje,trisobno,2020,38.0,91.21,394999.0,"Stoja trade, d.o.o., Ljubljana"
LJ. CENTER,Prodaja,Stanovanje,triinpolsobno,1933,,117.0,435000.0,GRE d.o.o.
LJ. CENTER,Prodaja,Posest,Zazidljiva,1970,10244.0,3437.0,4500000.0,"DUTB, d.d."
"LJ. CENTER, KONGRESNI TRG 14",Prodaja,Stanovanje,trisobno,1897,,91.0,360000.0,Zasebna ponudba
"LJ. CENTER, TABOR - VRHOVČEVA",Prodaja,Stanovanje,triinpolsobno,1950,,98.49,270000.0,Rojal invest d.o.o.
"LJ. CENTER, TOP LOKACIJA V CENTRU - RIMSKA CESTA",Prodaja,Stanovanje,štiriinpolsobno,1897,,105.0,360000.0,ABC nepremičnine d.o.o.
LJ. MOSTE,Prodaja,Hiša,Vrstna,2005,577.0,140.0,320000.0,Lares nepremičninska družba d.o.o.
"LJ. MOSTE, BLIŽINA CENTRA IN UKC",Prodaja,Stanovanje,dvosobno,1870,,44.6,120000.0,Studio 68 d.o.o.
"LJ. MOSTE, DVOJČEK, ODLIČNA LOKACIJA",Prodaja,Hiša,Dvojček,2019,250.0,166.0,1790.0,Kram plus d.o.o.
"LJ. MOSTE, VEVČE",Prodaja,Hiša,Dvojček,2019,330.0,150.0,249000.0,MESTO NEPREMIČNIN d.o.o.
"LJ. MOSTE, ZADOBROVA",Prodaja,Hiša,Dvojček,2019,304.0,158.0,310000.0,MESTO NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,dvosobno,1935,,45.0,115900.0,Mreža nepremičnin d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,trisobno,1939,,81.0,267000.0,Casa 69 d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,štirisobno,2009,,131.39,270000.0,"DUTB, d.d."
LJ. ŠIŠKA,Prodaja,Stanovanje,petsobno,2018,,406.42,990000.0,"Stoja trade, d.o.o., Ljubljana"
"LJ. ŠIŠKA, 1A BIVANJE V BLIŽINI TIVOLIJA",Prodaja,Stanovanje,dvoinpolsobno,2002,,51.9,156000.0,Studio 68 d.o.o.
"LJ. ŠIŠKA, BLIZU CENTRA, ODLIČNA LOKACIJA",Prodaja,Stanovanje,dvosobno,1965,,58.3,147000.0,MP PROJEKT d.o.o.
LJ. VIČ,Prodaja,Stanovanje,enosobno,1968,,34.0,89000.0,TA-BU nepremičnine d.o.o.
LJ. VIČ,Prodaja,Stanovanje,dvoinpolsobno,2009,,75.0,208000.0,Mreža nepremičnin d.o.o.
"LJ. VIČ, DOLGI MOST",Prodaja,Stanovanje,dvosobno,2004,,49.0,155000.0,Mikljič-Hribar Company d.o.o.
"LJ. VIČ, JZ OBROBJE",Prodaja,Hiša,Dvojček,2004,300.0,200.0,380000.0,Zasebna ponudba
"LJ. VIČ, KOLEZIJA",Prodaja,Stanovanje,dvosobno,1931,200.0,48.0,150000.0,Harmonija nepremičnine Ksenja Kokalj s.p.
"LJ. VIČ, PRI DOLGEM MOSTU",Prodaja,Stanovanje,enosobno,2004,,43.9,119000.0,Harmonija nepremičnine Ksenja Kokalj s.p.
"LJ. VIČ, VELIKA PARCELA, MODERNO",Prodaja,Hiša,Samostojna,2005,809.0,243.8,820000.0,"STAN nepremičnine d.o.o., Ljubljana"
LOKEV,Prodaja,Hiša,Dvojček,2019,396.0,173.0,165000.0,"Ruj Nepremičnine, Jernej Suša, s.p."
LUCIJA,Prodaja,Hiša,Vrstna,1974,502.0,305.0,398000.0,Casabela d.o.o./s.r.l.
"LUCIJA, BLIŽINA MERCATOR DISKONTA",Prodaja,Stanovanje,dvosobno,1987,,69.2,187000.0,Obala nepremičnine d.o.o.
"LUCIJA, CENTER - NASPROTI TPC",Prodaja,Stanovanje,enosobno,1998,,51.0,168000.0,Obala nepremičnine d.o.o.
"MALIJA, ČUDOVIT RAZGLED",Prodaja,Hiša,Samostojna,1985,1066.0,229.5,640000.0,"Svitan d.o.o., PE nepremičnine"
MB - CENTER,Prodaja,Poslovni prostor,Pisarna,1970,2205.0,7193.0,6500000.0,"DUTB, d.d."
"MB - CENTER, PARTIZANSKA ULICA",Prodaja,Poslovni prostor,Prostor za storitve,1963,,876.0,411000.0,"Zavarovalnica Triglav, d.d."
