ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija 
HRAST PRI JUGORJU,Prodaja,Hiša,Samostojna,1857,2000.0,80.0,75000.0,Nepis d.o.o.
HRAST PRI JUGORJU,Prodaja,Vikend,Zidan,1981,2151.0,86.0,59000.0,Realia d.o.o.
HRAST PRI JUGORJU,Prodaja,Hiša,Samostojna,1850,1176.0,88.0,21000.0,NNRN nepremičnine d.o.o. Novo mesto
"HRASTEK, BANOVEC",Prodaja,Vikend,Bivalen,2015,1739.0,58.0,30000.0,Nepremičnine-Sanja Radivojević s.p.
HRASTJE,Prodaja,Vikend,Bivalen,1979,8993.0,80.0,54000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
HRASTJE,Prodaja,Hiša,Samostojna,2014,882.0,227.0,599990.0,"PE DUAL nepremičnine, Urška Lebreht s.p."
HRASTJE,Prodaja,Hiša,Samostojna,1969,5895.0,267.0,780000.0,K 3 Kern d.o.o.
HRASTJE - MOTA,Prodaja,Hiša,Samostojna,1891,34021.0,134.8,99000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o."
HRASTJE OB BISTRICI,Prodaja,Hiša,Samostojna,1995,1438.0,151.0,65000.0,Nepremičnine-Sanja Radivojević s.p.
HRASTNIK,Prodaja,Stanovanje,enosobno,1938,,32.4,21900.0,"KP, Posredovanje nepremičnin, Karmen Podmenik s.p."
HRASTNIK,Prodaja,Stanovanje,enosobno,1960,,48.7,37000.0,"KP, Posredovanje nepremičnin, Karmen Podmenik s.p."
HRASTNIK,Prodaja,Stanovanje,enosobno,1970,,49.2,1100.0,"ELO d.o.o., PE Ljubljana"
HRASTNIK,Prodaja,Stanovanje,trisobno,1987,,68.0,50000.0,Mezanin nepremičnine d.o.o.
HRASTNIK,Prodaja,Hiša,Dvostanovanjska,1956,607.0,160.0,70000.0,"ELO d.o.o., PE Ljubljana"
HRASTNIK,Prodaja,Hiša,Samostojna,1940,400.0,180.0,45000.0,Zasebna ponudba
HRASTNIK,Prodaja,Hiša,Samostojna,1993,1069.0,286.0,120000.0,"ELO d.o.o., PE Ljubljana"
HRASTNIK,Prodaja,Poslovni prostor,Prostor za storitve,2003,,388.6,331500.0,ABC nepremičnine d.o.o.
"HRASTNIK, CENTER",Prodaja,Stanovanje,štiriinpolsobno,2011,500.0,135.0,89000.0,Zasebna ponudba
"HRASTNIK, CENTER",Prodaja,Hiša,Samostojna,1962,800.0,205.0,117000.0,Zasebna ponudba
"HRASTNIK, CENTER LOG 1",Prodaja,Stanovanje,dvoinpolsobno,1972,,65.0,1050.0,Zasebna ponudba
"HRASTNIK, LOG, BLIZU CENTRA",Prodaja,Stanovanje,trisobno,1977,,72.0,900.0,Zasebna ponudba
"HRASTNIK, NOVI LOG 19",Prodaja,Stanovanje,Drugo,1963,,48.6,11000.0,"KP, Posredovanje nepremičnin, Karmen Podmenik s.p."
"HRASTNIK, TABORNIŠKA POT",Prodaja,Stanovanje,dvoinpolsobno,1990,80.0,80.0,80000.0,Zasebna ponudba
"HRASTNIK, ULICA 1. MAJA",Prodaja,Hiša,Dvostanovanjska,1956,607.0,158.0,69500.0,NeSta d.o.o.
HRASTNO,Prodaja,Vikend,Zidan,2017,4284.0,40.0,38000.0,Zasebna ponudba
"HRASTNO, NAD ŠENTRUPERTOM",Prodaja,Vikend,Zidan,1975,961.0,48.0,20000.0,Leran d.o.o.
"HRASTNO, SELA",Prodaja,Vikend,Zidan,1975,2500.0,50.0,11.0,Zasebna ponudba
"HRASTNO, ŠENTRUPERT NA DOLENJSKEM",Prodaja,Vikend,Zidan,1978,1462.0,71.1,35000.0,Zasebna ponudba
HRASTOVEC,Prodaja,Vikend,Bivalen,1864,790.0,22.0,18000.0,"M nepremičnine, Milena Jančič s.p."
HRASTOVEC,Prodaja,Hiša,Samostojna,1880,609.0,69.3,20000.0,HABIT d.o.o.
HRASTOVEC,Prodaja,Vikend,Zidan,1992,1452.0,77.0,29000.0,"Maryland, nepremičnine d.o.o."
HRASTOVEC,Prodaja,Hiša,Samostojna,1957,6700.0,175.0,79000.0,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
HRASTOVEC POD BOČEM,Prodaja,Vikend,Drugo,1930,3705.0,106.0,20500.0,Zoro d.o.o.
HRASTOVEC POD BOČEM,Prodaja,Hiša,Samostojna,2000,881.0,130.7,110000.0,"Maryland, nepremičnine d.o.o."
"HRASTOVEC, 26 C",Prodaja,Hiša,Dvojček,1970,1511.0,306.0,119900.0,NOVA KBM d.d.
"HRASTOVEC, NA HRIBU, S POGLEDOM",Prodaja,Hiša,Samostojna,1900,8262.0,133.0,46000.0,"Nepremičnine Ptuj, d.o.o."
"HRASTOVEC, ZAVRČ",Prodaja,Vikend,Bivalen,1935,4640.0,29.5,25900.0,"M nepremičnine, Milena Jančič s.p."
HRASTOVICA,Prodaja,Hiša,Samostojna,1973,5790.0,120.0,129900.0,Zasebna ponudba
HRASTOVICA,Prodaja,Hiša,Samostojna,2007,2394.0,164.0,130000.0,Zasebna ponudba
"HRASTOVLJE, OKOLICA",Prodaja,Hiša,Vrstna,1974,449.0,241.9,190000.0,Adria nepremičnine d.o.o.
HRAŠČE,Prodaja,Stanovanje,enoinpolsobno,1960,,43.0,38000.0,Nepremičnine Land d.o.o.
HRAŠE,Prodaja,Hiša,Samostojna,2002,1534.0,390.0,480000.0,MESTO NEPREMIČNIN d.o.o.
HRENCA,Prodaja,Posest,Zazidljiva,1916,,231.2,34990.0,Atrium nepremičnine d.o.o.
HRIB - LOŠKI POTOK,Prodaja,Hiša,Samostojna,1900,701.0,80.0,29000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
HRIB PRI HINJAH,Prodaja,Hiša,Samostojna,2008,2500.0,350.0,235000.0,Zasebna ponudba
HRIB PRI OREHKU,Prodaja,Hiša,Samostojna,1900,18000.0,131.0,43000.0,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
"HROVAČA, KNAFLJEV TRG",Prodaja,Stanovanje,enosobno,1979,,47.0,126000.0,Zasebna ponudba
HRPELJE,Prodaja,Stanovanje,trisobno,1985,,45.8,77000.0,Nepremičnine Land d.o.o.
HRPELJE,Prodaja,Stanovanje,trisobno,2014,,75.0,149000.0,HABIT d.o.o.
HRPELJE,Prodaja,Stanovanje,trisobno,2017,,95.0,149000.0,"EMONA OBALA, nepremičnine d.o.o."
HRPELJE,Prodaja,Stanovanje,trisobno,2010,,106.6,180983.67,"INVESTMOND nepremičnine, Edmond Petrovič s.p."
HRPELJE,Prodaja,Stanovanje,trisobno,2008,,106.6,180983.67,Vila Portorož d.o.o.
HRPELJE,Prodaja,Stanovanje,trisobno,2010,,165.15,218155.0,"INVESTMOND nepremičnine, Edmond Petrovič s.p."
HRPELJE,Prodaja,Hiša,Dvostanovanjska,1975,172.0,168.5,199000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
HRPELJE,Prodaja,Poslovni prostor,Skladišče,2007,1563.0,568.86,499000.0,Dodoma d.o.o.
HRPELJE,Prodaja,Poslovni prostor,Kombiniran prostor,2007,1813.0,1275.0,800000.0,Urbanistika d.o.o.
"HRPELJE, CENTER",Prodaja,Stanovanje,trisobno,1800,,65.3,95000.0,"INVESTMOND nepremičnine, Edmond Petrovič s.p."
"HRPELJE, OB GLAVNI CESTI",Prodaja,Hiša,Samostojna,1923,264.0,270.0,399000.0,EURO NINE d.o.o.
"HRPELJE, OIC 9",Prodaja,Poslovni prostor,Skladišče,2017,600.0,400.0,440000.0,P+5 d.o.o. Inženiring
"HRPELJE, OKOLICA KOZINE",Prodaja,Stanovanje,trisobno,2016,,75.0,149000.0,"Brkini nepremičnine, Helena Godina s.p."
HRUŠEVEC,Prodaja,Hiša,Samostojna,1904,2174.0,84.0,55000.0,"K trade - Krajnc, d.o.o."
HRUŠEVICA,Prodaja,Hiša,Samostojna,1970,668.0,140.0,170000.0,Trobec d.o.o.
HRUŠEVJE,Prodaja,Hiša,Samostojna,1926,1033.0,350.0,120000.0,Bidom d.o.o.
HRUŠEVO,Prodaja,Hiša,Samostojna,1984,,252.0,318000.0,TA-BU nepremičnine d.o.o.
HRUŠEVO,Prodaja,Hiša,Samostojna,2003,711.0,294.0,459000.0,KREATIVDOM d.o.o.
HRUŠEVO,Prodaja,Hiša,Samostojna,1987,1002.0,376.0,485000.0,LJUBLJANA NEPREMIČNINE d.o.o.
"HRUŠEVO, LEPA LOKACIJA V UREJENEM NASELJU",Prodaja,Hiša,Samostojna,2003,711.0,294.1,459000.0,Rocco nepremičnine d.o.o.
HRUŠICA,Prodaja,Vikend,Bivalen,1925,1220.0,27.0,32000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
HRUŠICA,Prodaja,Stanovanje,dvosobno,1984,,56.8,79000.0,"Bonita N-11 d.o.o., Dom projekt Šuvak nepremičnine"
HRUŠICA,Prodaja,Hiša,Samostojna,1968,1529.0,188.0,129000.0,Kapitelj nepremičnine d.o.o.
HRUŠICA,Prodaja,Hiša,Samostojna,1968,1529.0,188.0,130000.0,Kapitelj nepremičnine d.o.o.
"HRUŠICA, 220",Prodaja,Poslovni prostor,Pisarna,1990,,36.63,48900.0,S-Invest d.o.o.
"HRUŠICA, NOVO MESTO",Prodaja,Hiša,Samostojna,1850,1970.0,45.0,35000.0,Nepis d.o.o.
"HRUŠICA, POGANŠKO",Prodaja,Vikend,Zidan,1967,1450.0,37.8,15000.0,Kapitelj nepremičnine d.o.o.
"HRUŠICA, PRI NM",Prodaja,Vikend,Zidan,1989,1045.0,19.0,11000.0,Nepremičnine Lara d.o.o.
HRUŠKARJE,Prodaja,Hiša,Samostojna,1950,5980.0,410.6,360000.0,Rocco nepremičnine d.o.o.
HRVATINI,Prodaja,Hiša,Vrstna,1900,610.0,118.0,250000.0,"Svitan d.o.o., PE nepremičnine"
HRVATINI,Prodaja,Stanovanje,štirisobno,2008,,130.0,189000.0,"Agencija Stenat 2000, Jagoda Nikolič s.p."
HRVATINI,Prodaja,Hiša,Dvostanovanjska,2005,600.0,170.0,315000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
HRVATINI,Prodaja,Hiša,Dvostanovanjska,2005,600.0,170.0,315000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
HRVATINI,Prodaja,Hiša,Dvojček,2010,,181.8,560000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona"
HRVATINI,Prodaja,Hiša,Samostojna,2005,600.0,188.31,315000.0,"Agencia d.o.o., PE Obala"
HRVATINI,Prodaja,Hiša,Dvostanovanjska,2005,600.0,191.0,315000.0,Vila Portorož d.o.o.
HRVATINI,Prodaja,Hiša,Dvostanovanjska,1995,,210.0,320000.0,"Agencia d.o.o., PE Obala"
HRVATINI,Prodaja,Hiša,Samostojna,2015,893.0,262.0,365000.0,"Agencia d.o.o., PE Obala"
HRVATINI,Prodaja,Hiša,Dvojček,2010,784.0,280.0,293000.0,Moduling nepremičnine d.o.o.
"HRVATINI, ANKARAN",Prodaja,Hiša,Dvostanovanjska,2005,600.0,188.0,315000.0,Zasebna ponudba
"HRVATINI, NOVO, NA KLJUČ, POGLED",Prodaja,Hiša,Dvojček,2019,487.0,178.3,289000.0,"ADRIA STILL, nepremičnine, Marjan Velikonja s.p."
"HRVATINI, POGLED NA MORJE",Prodaja,Hiša,Vrstna,1910,,130.4,190000.0,"Apertura, poslovanje z nepremičninami, d.o.o."
HUDA JAMA,Prodaja,Stanovanje,trisobno,1926,555.0,82.8,27000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
HUDAJUŽNA,Prodaja,Hiša,Samostojna,1910,170.0,69.0,29000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
HUDAJUŽNA,Prodaja,Hiša,Samostojna,1976,129.0,192.0,40000.0,LEBAN INVEST d.o.o.
"HUDI GRABEN, POD GORAMI - MED BEGUNJAMI IN TRŽIČEM",Prodaja,Hiša,Samostojna,1982,524.0,140.0,98000.0,Makler Bled d.o.o.
HUDI KOT,Prodaja,Hiša,Samostojna,1930,773.0,129.14,165000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o."
HUDI VRH,Prodaja,Hiša,Samostojna,2004,5156.0,325.0,105000.0,Roni nepremičnine d.o.o.
HUDI VRH,Prodaja,Hiša,Samostojna,2004,5156.0,325.2,105000.0,Nepremičnine Land d.o.o.
"HUDINJA, ROGLA",Prodaja,Počitniški objekt,Apartma,2009,,46.8,75000.0,Zasebna ponudba
"HUDINJA, ROGLA",Prodaja,Počitniški objekt,Apartma,2009,,75.0,125000.0,Zasebna ponudba
HUM PRI ORMOŽU,Prodaja,Hiša,Samostojna,1780,1853.0,60.0,18000.0,Jeruzalem Ormož SAT d.o.o.
HUM PRI ORMOŽU,Prodaja,Hiša,Samostojna,1979,956.0,103.0,70000.0,Zasebna ponudba
HUM PRI ORMOŽU,Prodaja,Hiša,Samostojna,2005,13836.0,504.1,425000.0,NEPREMIČNINE 1A d.o.o.
"HUM PRI ORMOŽU, MIRNA LOKACIJA",Prodaja,Hiša,Samostojna,1979,956.0,182.4,69900.0,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
"HUM PRI ORMOŽU, ORMOŽ, OKOLICA",Prodaja,Hiša,Samostojna,1990,4642.0,200.5,69000.0,"M nepremičnine, Milena Jančič s.p."
"HUM, GORIŠKA BRDA",Prodaja,Hiša,Samostojna,1981,3021.0,273.0,210000.0,"Forma nepremičnine, Klavdio Štrukelj s.p."
IDRIJA,Prodaja,Hiša,Samostojna,1930,717.0,60.0,49000.0,Bidom d.o.o.
IDRIJA,Prodaja,Stanovanje,dvosobno,1860,,78.8,85000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
IDRIJA,Prodaja,Poslovni prostor,Neživilska trgovina,1920,,82.0,60000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
IDRIJA,Prodaja,Hiša,Samostojna,1961,300.0,140.0,56000.0,Zasebna ponudba
IDRIJA,Prodaja,Stanovanje,štirisobno,1896,,160.0,220000.0,Samrok nepremičnine d.o.o.
IDRIJA,Prodaja,Hiša,Samostojna,1900,315.0,189.0,72000.0,Zasebna ponudba
IDRIJA,Prodaja,Hiša,Samostojna,1965,377.0,220.0,160000.0,Zasebna ponudba
IDRIJA,Prodaja,Hiša,Samostojna,1876,660.0,235.3,109000.0,Nepremičnine Land d.o.o.
IDRIJA,Prodaja,Hiša,Samostojna,1996,1634.0,304.2,210000.0,Novi list d.o.o.
IDRIJA,Prodaja,Poslovni prostor,Drugo,1995,3042.0,2998.0,2500000.0,Renes d.o.o.
IDRIJA PRI BAČI,Prodaja,Hiša,Samostojna,1820,1466.0,291.5,70000.0,Renes d.o.o.
"IDRIJA PRI BAČI, 43",Prodaja,Hiša,Drugo,1980,296.0,214.8,79000.0,Zasebna ponudba
"IDRIJA, BEBLERJEVA ULICA",Prodaja,Stanovanje,trisobno,1970,,87.23,1000.0,Zasebna ponudba
"IDRIJA, CENTER",Prodaja,Stanovanje,dvoinpolsobno,2018,,72.0,80000.0,Zasebna ponudba
"IDRIJA, CENTER ROŽNA ULICA",Prodaja,Poslovni prostor,Prostor za storitve,2000,,194.0,140000.0,Zasebna ponudba
"IDRIJA, DOLE",Prodaja,Hiša,Samostojna,2017,102643.0,192.6,195000.0,"VEBER Nepremičnine, Logatec, d.o.o., "
"IDRIJA, KOSOVELOVA ULICA",Prodaja,Poslovni prostor,Prostor za storitve,1900,,32.5,45000.0,Zasebna ponudba
"IDRIJA, LABINJE",Prodaja,Hiša,Samostojna,1900,1374.0,253.0,110000.0,"Think Slovenia, TS1 d.o.o."
"IDRIJA, LAPAJNETOVA ULICA 19",Prodaja,Poslovni prostor,Prostor za storitve,1964,,85.72,115000.0,Banka Intesa Sanpaolo d.d.
"IDRIJA, SPODNJA",Prodaja,Poslovni prostor,Pisarna,1990,,128.0,57000.0,Vilmar nepremičnine d.o.o.
"IDRIJA, ULICA SV. BARBARE",Prodaja,Stanovanje,garsonjera,1963,,24.6,33000.0,SGG Tolmin d.o.o.
IDRIJSKA BELA,Prodaja,Hiša,Samostojna,1994,2523.0,110.0,125000.0,Afirmacija d.o.o.
IDRIJSKE KRNICE,Prodaja,Hiša,Samostojna,2011,339.0,107.3,105000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
IG,Prodaja,Hiša,Samostojna,2001,765.0,266.0,449000.0,Zasebna ponudba
IG,Prodaja,Hiša,Samostojna,1995,809.0,268.0,287000.0,"Stoja trade, d.o.o., Ljubljana"
IG,Prodaja,Hiša,Samostojna,1998,,336.5,299000.0,DVOREC POSREDNIŠKA HIŠA d.o.o.
IG,Prodaja,Posest,Zazidljiva,1940,,620.0,105000.0,"Stoja trade, d.o.o., Ljubljana"
IG,Prodaja,Posest,Zazidljiva,2018,,6000.0,150.0,LJUBLJANA NEPREMIČNINE d.o.o.
"IG, GOLO",Prodaja,Hiša,Samostojna,1985,400.0,198.0,163000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona"
"IG, GOLO",Prodaja,Hiša,Samostojna,1985,865.0,209.0,215000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona"
"IG, GOLO - 5 MIN IZ CENTRA IGA",Prodaja,Hiša,Dvostanovanjska,1996,687.0,202.43,270000.0,"Nepremičninska agencija ""TLORIS"" Miro Torić s.p., Poslovna enota"
"IG, ODLIČNA LOKACIJA",Prodaja,Stanovanje,štirisobno,2016,,162.34,155000.0,Viping d.o.o.
"IG, OKOLICA",Prodaja,Hiša,Samostojna,1973,645.0,37.9,89000.0,Kupola nepremičnina d.o.o.
"IG, OKOLICA, BLIZU KUREŠČKA",Prodaja,Hiša,Samostojna,1990,2734.0,265.2,514000.0,Kupola nepremičnina d.o.o.
"IG, PODKRAJ",Prodaja,Hiša,Samostojna,1965,1684.0,197.0,325000.0,APN d.o.o.
"IG, V BLIŽINI KUREŠČKA",Prodaja,Hiša,Samostojna,1973,645.0,37.9,89000.0,Kupola nepremičnina d.o.o.
"IG, ZAPOTOK",Prodaja,Vikend,Lesen,1985,1117.0,78.0,115000.0,Gradex nepremičnine d.o.o.
IHAN,Prodaja,Stanovanje,triinpolsobno,1989,332.0,83.0,119900.0,"Sans nepremičnine, d.o.o."
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Drugo,1979,11.0,11.0,10000.0,Zasebna ponudba
ILIRSKA BISTRICA,Prodaja,Hiša,Samostojna,1937,1295.0,55.2,65000.0,Nepremičnine Land d.o.o.
ILIRSKA BISTRICA,Prodaja,Stanovanje,dvosobno,1966,,55.9,70000.0,Nepremičnine Land d.o.o.
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Prostor za storitve,1981,,65.8,65000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
ILIRSKA BISTRICA,Prodaja,Stanovanje,dvosobno,1939,,73.8,59900.0,Nepremičnine Land d.o.o.
ILIRSKA BISTRICA,Prodaja,Stanovanje,triinpolsobno,1957,130.0,91.7,125000.0,Nepremičnine Land d.o.o.
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Pisarna,1986,,108.9,80000.0,Svet Real d.o.o.
ILIRSKA BISTRICA,Prodaja,Hiša,Samostojna,1897,774.0,130.0,70000.0,"Ruj Nepremičnine, Jernej Suša, s.p."
ILIRSKA BISTRICA,Prodaja,Hiša,Samostojna,1897,3421.0,130.0,119000.0,"Ruj Nepremičnine, Jernej Suša, s.p."
ILIRSKA BISTRICA,Prodaja,Hiša,Samostojna,1890,330.0,136.0,55000.0,Euro MB d.o.o.
ILIRSKA BISTRICA,Prodaja,Hiša,Vrstna,1936,1182.0,142.6,190000.0,Nepremičnine Land d.o.o.
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Pisarna,1986,,173.4,120000.0,Svet Real d.o.o.
ILIRSKA BISTRICA,Prodaja,Hiša,Samostojna,1986,28153.0,212.0,230000.0,"NIONA, Nina Rangus s.p."
ILIRSKA BISTRICA,Prodaja,Hiša,Samostojna,1976,6188.0,220.0,185000.0,Novi list d.o.o.
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Skladišče,1919,616.0,230.0,99000.0,Nepremičnine Land d.o.o.
ILIRSKA BISTRICA,Prodaja,Hiša,Samostojna,1836,433.0,254.0,70000.0,Novi list d.o.o.
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Pisarna,1986,,282.3,200000.0,Svet Real d.o.o.
ILIRSKA BISTRICA,Prodaja,Hiša,Samostojna,1981,900.0,300.0,105000.0,"Ruj Nepremičnine, Jernej Suša, s.p."
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Kombiniran prostor,1950,,371.0,192000.0,Samrok nepremičnine d.o.o.
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Delavnica,1950,,371.0,192000.0,Samrok nepremičnine d.o.o.
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Delavnica,1950,,807.0,220000.0,Samrok nepremičnine d.o.o.
ILIRSKA BISTRICA,Prodaja,Poslovni prostor,Kombiniran prostor,1981,57965.0,8203.0,3575654.64,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"ILIRSKA BISTRICA, CENTER",Prodaja,Stanovanje,trisobno,1929,,130.0,83000.0,Euro MB d.o.o.
"ILIRSKA BISTRICA, CENTER",Prodaja,Stanovanje,triinpolsobno,1989,307.0,190.0,115000.0,Zasebna ponudba
"ILIRSKA BISTRICA, CENTER",Prodaja,Hiša,Samostojna,1983,1500.0,620.0,320000.0,Euro MB d.o.o.
"ILIRSKA BISTRICA, INDUSTRIJSKA CONA TRNOVO",Prodaja,Poslovni prostor,Skladišče,1965,500.0,255.0,93000.0,Zasebna ponudba
"ILIRSKA BISTRICA, NA OBROBJU",Prodaja,Hiša,Samostojna,1986,35000.0,127.0,230000.0,Realia d.o.o.
"ILIRSKA BISTRICA, OIC TRNOVO",Prodaja,Poslovni prostor,Skladišče,1930,361.0,255.0,117000.0,"Ruj Nepremičnine, Jernej Suša, s.p."
"ILIRSKA BISTRICA, OKOLICA",Prodaja,Hiša,Samostojna,1930,1482.0,224.0,115000.0,"Ruj nepremičnine, Jernej Suša, s.p."
"ILIRSKA BISTRICA, PODGRAD",Prodaja,Hiša,Samostojna,1988,368.0,160.0,95000.0,Zasebna ponudba
"ILIRSKA BISTRICA, ROZMANOVA ULICA",Prodaja,Stanovanje,dvosobno,1980,,59.0,63000.0,Zasebna ponudba
"ILIRSKA BISTRICA, ROZMANOVA ULICA 24A",Prodaja,Stanovanje,dvoinpolsobno,1978,,66.2,81000.0,Zasebna ponudba
"ILIRSKA BISTRICA, SNEŽNIK - SVIŠČAKI",Prodaja,Hiša,Samostojna,1983,,95.0,65000.0,"Svitan d.o.o., PE nepremičnine"
"ILIRSKA BISTRICA, SVIŠČAKI",Prodaja,Hiša,Samostojna,1990,,80.0,65000.0,Nepremičnine Land d.o.o.
"ILIRSKA BISTRICA, SVIŠČAKI",Prodaja,Vikend,Zidan,1980,200.0,90.0,65000.0,"Ruj Nepremičnine, Jernej Suša, s.p."
"ILIRSKA BISTRICA, SVIŠČAKI, OKROGLINA",Prodaja,Hiša,Samostojna,1920,1288.0,290.0,60000.0,Modra linija holding d.o.o.
"ILIRSKA BISTRICA, TRNOVO",Prodaja,Hiša,Samostojna,1900,276.0,130.0,24000.0,"Ruj Nepremičnine, Jernej Suša, s.p."
"ILIRSKA BISTRICA, TRNOVO",Prodaja,Hiša,Samostojna,1995,826.0,250.0,227000.0,Zasebna ponudba
IMENSKA GORCA,Prodaja,Hiša,Samostojna,1968,2515.0,80.0,70000.0,Mezanin nepremičnine d.o.o.
IMENSKA GORCA,Prodaja,Vikend,Zidan,1690,1200.0,80.0,40000.0,Hiša nepremičnine 1 d.o.o.
IMENSKA GORCA,Prodaja,Hiša,Samostojna,1984,7200.0,150.0,110000.0,Mezanin nepremičnine d.o.o.
"IMOVICA, LUKOVICA PRI DOMŽALAH",Prodaja,Hiša,Samostojna,2011,333.0,210.0,258000.0,Zasebna ponudba
IŠKA,Prodaja,Hiša,Samostojna,1940,620.0,45.0,90000.0,Mezanin nepremičnine d.o.o.
IŠKA,Prodaja,Hiša,Samostojna,1940,620.0,45.0,85000.0,Rojal invest d.o.o.
IŠKA,Prodaja,Počitniški objekt,Vikend,1940,620.0,50.0,110000.0,Lares nepremičninska družba d.o.o.
IŠKA,Prodaja,Hiša,Samostojna,1970,767.0,60.0,80000.0,"Property d.o.o., PE Ljubljana"
IŠKA VAS,Prodaja,Hiša,Samostojna,1990,574.0,344.4,190000.0,Mezanin nepremičnine d.o.o.
"IŠKA VAS, LJ. - OKOLICA",Prodaja,Vikend,Bivalen,1940,620.0,50.0,85000.0,Rojal invest d.o.o.
IVANČNA GORICA,Prodaja,Stanovanje,garsonjera,2004,,34.7,87500.0,Zasebna ponudba
IVANČNA GORICA,Prodaja,Stanovanje,dvosobno,1957,130.0,69.0,79000.0,"Lucia tim d.o.o., PE Nepremičnine"
IVANČNA GORICA,Prodaja,Poslovni prostor,Pisarna,2004,30.0,75.5,125000.0,"Ažur Trading, d.o.o."
IVANČNA GORICA,Prodaja,Stanovanje,štirisobno,2008,,80.0,184000.0,Zasebna ponudba
IVANČNA GORICA,Prodaja,Stanovanje,triinpolsobno,2019,,96.07,212000.0,"Ažur Trading, d.o.o."
IVANČNA GORICA,Prodaja,Stanovanje,dvoinpolsobno,2019,,97.0,214000.0,"Ažur Trading, d.o.o."
IVANČNA GORICA,Prodaja,Hiša,Dvojček,2018,219.0,99.4,175000.0,Domart RE d.o.o.
IVANČNA GORICA,Prodaja,Hiša,Dvostanovanjska,2018,219.0,99.4,175000.0,Domart RE d.o.o.
IVANČNA GORICA,Prodaja,Hiša,Samostojna,2002,1926.0,101.0,320000.0,LJUBLJANA NEPREMIČNINE d.o.o.
IVANČNA GORICA,Prodaja,Hiša,Samostojna,2002,500.0,101.0,220000.0,LJUBLJANA NEPREMIČNINE d.o.o.
IVANČNA GORICA,Prodaja,Stanovanje,petsobno,1968,,108.0,149500.0,Rojal invest d.o.o.
IVANČNA GORICA,Prodaja,Hiša,Samostojna,2019,5502.0,124.4,206180.0,"Aeon nepremičnine, d.o.o., Century 21 Emona"
IVANČNA GORICA,Prodaja,Hiša,Samostojna,2019,4388.0,125.1,198860.0,"Aeon nepremičnine, d.o.o., Century 21 Emona"
"IVANČNA GORICA, 1A LOKACIJA + PENTHOUSE",Prodaja,Stanovanje,trisobno,2004,,65.62,165000.0,Studio 68 d.o.o.
"IVANČNA GORICA, CENTER",Prodaja,Stanovanje,enosobno,2002,,37.7,95000.0,Mikljič-Hribar Company d.o.o.
"IVANČNA GORICA, CENTER",Prodaja,Stanovanje,enoinpolsobno,1970,65.0,65.0,105000.0,Zasebna ponudba
"IVANČNA GORICA, CENTER – LJUBLJANSKA CESTA",Prodaja,Stanovanje,triinpolsobno,1981,,71.5,108750.0,SKYNEP nepremičnine d.o.o.
"IVANČNA GORICA, DOBRAVA PRI STIČNI",Prodaja,Hiša,Samostojna,2019,6893.0,125.1,219600.0,"Aeon nepremičnine, d.o.o., Century 21 Emona"
"IVANČNA GORICA, FUŽINA",Prodaja,Hiša,Samostojna,1905,4257.0,220.0,260000.0,"Šardi&Co. nepremičnine, družba za posredovanje v prometu z nepremičninami, d.o.o."
"IVANČNA GORICA, GLOGOVICA",Prodaja,Hiša,Samostojna,1977,606.0,380.5,270000.0,"Ažur Trading, d.o.o."
"IVANČNA GORICA, GRINTOVEC",Prodaja,Hiša,Samostojna,1965,4881.0,106.0,147000.0,MKA nepremičnine d.o.o.
