ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija,regija
"RUDNIK, BARJANSKA CESTA",Prodaja,Hiša,Vrstna,2020,143.0,162.0,481800.0,Skupina partnerji d.o.o.,ljubljana-mesto
"RUDNIK, BREZ PROVIZIJE",Prodaja,Hiša,Samostojna,2019,350.0,190.0,299000.0,Aion d.o.o.,ljubljana-mesto
"RUDNIK, IG, NA VOLJO SAMO ŠE TRI",Prodaja,Hiša,Samostojna,2019,400.0,156.0,285000.0,Casa 69 d.o.o.,ljubljana-mesto
"SPODNJE GAMELJNE, ČUDOVITA DVOSTANOVANJSKA HIŠA S POGLEDOM N...",Prodaja,Hiša,Samostojna,1972,1241.0,360.0,695000.0,ABC nepremičnine d.o.o.,ljubljana-mesto
ŠMARTNO POD ŠMARNO GORO,Prodaja,Hiša,Samostojna,2011,1242.0,528.6,795000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
"TRNOVO, BARJANSKA CESTA",Prodaja,Hiša,Vrstna,2020,252.0,162.0,525000.0,Skupina partnerji d.o.o.,ljubljana-mesto
"TRNOVO, IZREDNO MIRNA IN TIHA LOKACIJA.",Prodaja,Hiša,Samostojna,1990,415.0,260.0,660000.0,Zasebna ponudba,ljubljana-mesto
VEVČE,Prodaja,Hiša,Dvojček,2019,330.0,150.0,249000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
VIŽMARJE,Prodaja,Stanovanje,garsonjera,2020,,34.0,138958.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
VODMAT,Prodaja,Stanovanje,trisobno,1965,,70.5,199000.0,Mikljič-Hribar Company d.o.o.,ljubljana-mesto
ZG. ŠIŠKA,Prodaja,Stanovanje,štirisobno,2009,,131.39,255000.0,"DUTB, d.d.",ljubljana-mesto
"ZUPANČIČEVA JAMA, VELIK POTENCIAL ZA LASTNIKA",Prodaja,Stanovanje,trisobno,1993,,143.8,325000.0,"RE/MAX Commercial Slovenija, RMC d.o.o.",ljubljana-mesto
BESNICA,Prodaja,Hiša,Samostojna,1996,747.0,196.0,210000.0,MEZANIN PRO nepremičnine d.o.o.,ljubljana-mesto
"BESNICA, MALO TREBELJEVO",Prodaja,Hiša,Samostojna,1981,800.0,45.0,69000.0,Zasebna ponudba,ljubljana-mesto
"BESNICA, PRI LJUBLJANI",Prodaja,Hiša,Samostojna,1996,737.0,196.0,210000.0,Zasebna ponudba,ljubljana-mesto
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Pisarna,1996,,16.0,27000.0,"Mirag invest d.o.o., PE Ljubljana",ljubljana-mesto
BEŽIGRAJSKI DVOR,Prodaja,Stanovanje,garsonjera,1963,,17.3,95000.0,Zasebna ponudba,ljubljana-mesto
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Prostor za storitve,1996,,22.0,85000.0,Zasebna ponudba,ljubljana-mesto
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Drugo,1996,,23.0,37000.0,RCN d.o.o.,ljubljana-mesto
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Kombiniran prostor,1996,,37.35,60000.0,Senon d.o.o.,ljubljana-mesto
