ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija,regija 
"LJ. CENTER, - PRULE",Prodaja,Stanovanje,štirisobno,1930,,89.2,285000.0,"Šardi&Co. nepremičnine, družba za posredovanje v prometu z nepremičninami, d.o.o.",ljubljana-mesto
"LJ. CENTER, – KRAKOVO",Prodaja,Stanovanje,dvoinpolsobno,1850,117.0,46.0,362000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, 1A IZJEMNA LOKACIJA",Prodaja,Stanovanje,petsobno,1524,,190.0,650000.0,Studio 68 d.o.o.,ljubljana-mesto
"LJ. CENTER, 1A REZIDENCA VILA URBANA",Prodaja,Stanovanje,trisobno,2008,,132.2,750000.0,Studio 68 d.o.o.,ljubljana-mesto
"LJ. CENTER, BALKON, DVIGALO",Prodaja,Stanovanje,trisobno,1982,,73.7,249000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, BAVARSKI DVOR",Prodaja,Poslovni prostor,Prostor za storitve,1965,,71.5,289000.0,COOP nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, BAVARSKI DVOR",Prodaja,Poslovni prostor,Gostinski lokal,1965,,71.5,289000.0,COOP nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, BAVARSKI DVOR",Prodaja,Stanovanje,štiriinpolsobno,1926,,157.2,590000.0,"Studio Domicil, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, BEETHOVNOVA ULICA",Prodaja,Stanovanje,triinpolsobno,1921,,126.28,590000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, BEETHOVNOVA ULICA",Prodaja,Stanovanje,štirisobno,1924,,142.5,498000.0,Nepremičnine Plus d.o.o.,ljubljana-mesto
"LJ. CENTER, BLIZU GLAVNE ŽELEŽNIŠKE POSTAJE",Prodaja,Stanovanje,garsonjera,1901,,30.0,78000.0,ALEA nepremičninska družba d.o.o.,ljubljana-mesto
"LJ. CENTER, BLIZU HOTELA LEV",Prodaja,Stanovanje,trisobno,1594,,74.5,248000.0,KREATIVDOM d.o.o.,ljubljana-mesto
"LJ. CENTER, BLIZU LJUBLJANSKEGA GRADU",Prodaja,Stanovanje,dvosobno,1906,,44.0,119990.0,"Sans nepremičnine, d.o.o.",ljubljana-mesto
"LJ. CENTER, BLIZU PARKIRIŠČA TIVOLI",Prodaja,Stanovanje,enoinpolsobno,1800,,46.0,124000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, BLIŽINA DRAME",Prodaja,Stanovanje,petsobno,1932,,172.9,749000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, BLIŽINA DRAME/KONGRESNEGA TRGA",Prodaja,Stanovanje,štirisobno,1908,,124.0,500000.0,Group A d.o.o.,ljubljana-mesto
"LJ. CENTER, BLIŽINA GIMNAZIJE LEDINA",Prodaja,Poslovni prostor,Kombiniran prostor,1993,,59.0,147000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, BLIŽINA GIMNAZIJE POLJANE",Prodaja,Stanovanje,dvosobno,1960,,38.2,139000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, BLIŽINA GIMNAZIJE POLJANE",Prodaja,Stanovanje,štirisobno,1941,,124.6,350000.0,"Rebernik nepremičnine, Samo Rebernik s.p.",ljubljana-mesto
"LJ. CENTER, BLIŽINA LEVSTIKOVEGA TRGA",Prodaja,Hiša,Vrstna,1689,221.0,212.0,540000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, BLIŽINA TRNOVSKE CERKVE",Prodaja,Stanovanje,triinpolsobno,2015,,103.2,209000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, BLIŽINA TRŽNICE",Prodaja,Stanovanje,trisobno,1954,,72.0,225000.0,ALEA nepremičninska družba d.o.o.,ljubljana-mesto
"LJ. CENTER, BLIŽINA UKC - JA",Prodaja,Stanovanje,trisobno,1909,,96.9,280000.0,Rocco nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, BLIŽINA ŽEL. POSTAJE",Prodaja,Poslovni prostor,Pisarna,1962,,480.0,1700.0,REGROUP d.o.o.,ljubljana-mesto
"LJ. CENTER, BLIŽINA ŽEL. POSTAJE",Prodaja,Poslovni prostor,Pisarna,1962,,960.0,1700.0,REGROUP d.o.o.,ljubljana-mesto
"LJ. CENTER, BLIŽINA ŽELEZNIŠKE POSTAJE",Prodaja,Stanovanje,dvosobno,1898,,54.3,220000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, BREG 22",Prodaja,Poslovni prostor,Pisarna,1770,,157.3,450000.0,S-Invest d.o.o.,ljubljana-mesto
"LJ. CENTER, BREG STARA",Prodaja,Stanovanje,dvoinpolsobno,1650,,76.1,235000.0,Agencija Katja d.o.o.,ljubljana-mesto
"LJ. CENTER, CANKARJEVO NABREŽJE",Prodaja,Stanovanje,dvoinpolsobno,2012,,128.81,499000.0,Rojal invest d.o.o.,ljubljana-mesto
"LJ. CENTER, CANKARJEVO NABREŽJE",Prodaja,Poslovni prostor,Gostinski lokal,2019,,298.0,1800000.0,I Podpora d.o.o. Ljubljana,ljubljana-mesto
"LJ. CENTER, CIRIL - METODOV TRG",Prodaja,Stanovanje,štirisobno,1756,,128.2,307000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, ČUFARJEVA ULICA",Prodaja,Stanovanje,trisobno,1959,,74.0,219000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, ČUFARJEVA ULICA",Prodaja,Stanovanje,trisobno,1959,,74.0,219000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
"LJ. CENTER, DALMATINOVA",Prodaja,Stanovanje,trisobno,1896,,91.0,330000.0,Enepremičnine Ana Ocvirk s.p.,ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,dvosobno,2021,,65.48,229691.93,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,dvosobno,2021,,67.07,209138.43,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,trisobno,2021,,75.3,336474.61,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,štirisobno,2021,,78.68,321482.47,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,trisobno,2021,,78.68,321482.47,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,trisobno,2021,,78.93,319372.08,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,štirisobno,2021,,84.0,274647.14,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,trisobno,2021,,89.28,350978.16,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,štirisobno,2021,,96.49,361598.57,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DEVANA PARK",Prodaja,Stanovanje,trisobno,2021,,96.49,361598.57,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, DVORAKOVA",Prodaja,Poslovni prostor,Skladišče,1926,,360.7,406.0,Agencija Barbara nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, DVORAKOVA ULICA 3",Prodaja,Garaža,Parkirno mesto,2016,,11.9,30500.0,Mestna občina Ljubljana,ljubljana-mesto
"LJ. CENTER, ELITNO",Prodaja,Stanovanje,trisobno,2019,,133.5,650000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, FERANTOV BLOK",Prodaja,Stanovanje,trisobno,1965,,92.2,349000.0,Garant - Gabrijela Smuk s.p.,ljubljana-mesto
"LJ. CENTER, FERANTOV VRT",Prodaja,Stanovanje,trisobno,1975,,75.1,259000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, FERANTOV VRT",Prodaja,Stanovanje,trisobno,1965,,92.2,349000.0,REGROUP d.o.o.,ljubljana-mesto
"LJ. CENTER, FERENTOV VRT",Prodaja,Stanovanje,dvoinpolsobno,1971,,75.1,298999.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
"LJ. CENTER, GESTRINOVA ULICA, OB LJUBLJANICI",Prodaja,Stanovanje,trisobno,1929,,96.6,338000.0,"ENOTA real estate, nepremičninsko posredovanje, Eva Golc, s.p",ljubljana-mesto
"LJ. CENTER, GLONARJEVA ULICA",Prodaja,Stanovanje,dvosobno,2004,,62.9,270000.0,"Abstract nepremičnine, Igor Kerin s.p.",ljubljana-mesto
"LJ. CENTER, GOLOVEC",Prodaja,Stanovanje,triinpolsobno,1980,,91.5,215000.0,Svet Real d.o.o.,ljubljana-mesto
"LJ. CENTER, GORNJI TRG",Prodaja,Poslovni prostor,Prostor za storitve,1630,,70.0,284000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, GORNJI TRG",Prodaja,Hiša,Samostojna,1680,,212.0,540000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, GRABLOVIČEVA, VODMAT",Prodaja,Stanovanje,dvosobno,1965,,62.5,170000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
"LJ. CENTER, GREGORČIČEVA",Prodaja,Stanovanje,petsobno,1937,,161.5,399000.0,Impressa d.o.o.,ljubljana-mesto
"LJ. CENTER, GREGORČIČEVA ULICA",Prodaja,Stanovanje,petsobno,1937,,161.5,399000.0,Impressa d.o.o.,ljubljana-mesto
"LJ. CENTER, HRADECKEGA CESTA",Prodaja,Stanovanje,dvoinpolsobno,1960,,67.3,179000.0,Nepremičnine Plus d.o.o.,ljubljana-mesto
"LJ. CENTER, HRADECKEGA CESTA, VZNOŽJE GOLOVCA",Prodaja,Hiša,Dvostanovanjska,1920,719.0,313.0,665000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, HRADECKI, POD GOLOVCEM",Prodaja,Stanovanje,dvosobno,2019,,84.6,310000.0,RCN d.o.o.,ljubljana-mesto
"LJ. CENTER, HRADECKI, POD GOLOVCEM",Prodaja,Stanovanje,trisobno,2019,,138.66,515000.0,RCN d.o.o.,ljubljana-mesto
"LJ. CENTER, HRADECKI, POD GOLOVCEM",Prodaja,Stanovanje,štirisobno,2019,,157.5,550000.0,RCN d.o.o.,ljubljana-mesto
"LJ. CENTER, ILIRSKA",Prodaja,Stanovanje,dvoinpolsobno,1932,,48.1,149000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, ILIRSKA 8",Prodaja,Poslovni prostor,Gostinski lokal,1985,,88.2,180000.0,Posredovanje z nepremičninami in turizem Nigora Jakša s.p.,ljubljana-mesto
"LJ. CENTER, INVESTICIJA",Prodaja,Poslovni prostor,Gostinski lokal,1972,,219.9,470000.0,DOM REAL d.o.o.,ljubljana-mesto
"LJ. CENTER, INVESTICIJA/AIRBNB",Prodaja,Stanovanje,garsonjera,1890,,27.3,170000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, IZJEMNA LOKACIJA",Prodaja,Stanovanje,trisobno,1891,92.0,79.7,280000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal",ljubljana-mesto
"LJ. CENTER, KAPITELJ",Prodaja,Garaža,Parkirno mesto,2000,,12.5,34000.0,MKA nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, KAPITELJ",Prodaja,Poslovni prostor,Pisarna,2000,,54.0,135000.0,Enepremičnine Ana Ocvirk s.p.,ljubljana-mesto
"LJ. CENTER, KAPITELJ",Prodaja,Stanovanje,dvosobno,2000,,65.0,290000.0,Medvešek Pušnik Nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, KAPITELJ",Prodaja,Poslovni prostor,Drugo,2000,,182.0,2500.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
"LJ. CENTER, KAPITELJ POLJANSKI NASIP",Prodaja,Garaža,Parkirno mesto,2000,,12.5,29900.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, KERSNIKOVA",Prodaja,Poslovni prostor,Pisarna,2019,,25.0,47000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, KERSNIKOVA 11",Prodaja,Stanovanje,garsonjera,1958,,30.0,125000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, KERSNIKOVA UL",Prodaja,Stanovanje,štirisobno,1970,,84.7,398000.0,Kvadrat nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, KERSNIKOVA ULICA",Prodaja,Stanovanje,enosobno,1958,,30.0,125000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, KERSNIKOVA ULICA 4",Prodaja,Poslovni prostor,Pisarna,1936,,732.7,1226500.0,Mestna občina Ljubljana,ljubljana-mesto
"LJ. CENTER, KODELJEVO",Prodaja,Hiša,Samostojna,2009,353.0,342.0,750000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, KOLODVORSKA",Prodaja,Stanovanje,dvosobno,1900,,44.4,169000.0,Maridom nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, KOLODVORSKA",Prodaja,Poslovni prostor,Gostinski lokal,1988,,63.0,150000.0,"Nepremičnine M8, Lea Kavalič s.p.",ljubljana-mesto
"LJ. CENTER, KOLODVORSKA 9",Prodaja,Poslovni prostor,Prostor za storitve,1970,,265.3,467170.0,Abanka d.d.,ljubljana-mesto
"LJ. CENTER, KOLODVORSKA ULICA9",Prodaja,Poslovni prostor,Drugo,1970,,265.34,467170.0,S-Invest d.o.o.,ljubljana-mesto
"LJ. CENTER, KOMENSKEGA",Prodaja,Stanovanje,dvoinpolsobno,1883,,77.6,290000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, KOMENSKEGA ULICA",Prodaja,Stanovanje,dvoinpolsobno,1883,,77.0,290000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, KOMENSKEGA ULICA 38",Prodaja,Stanovanje,trisobno,2005,,80.3,390000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, KOMPLEKS MESARSKA",Prodaja,Stanovanje,trisobno,2007,27.0,77.0,258000.0,"Abax d.o.o., PE Abax Ljubljana",ljubljana-mesto
"LJ. CENTER, KONGRESNI TRG",Prodaja,Stanovanje,štirisobno,1895,,108.0,528000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, KONGRESNI TRG 14",Prodaja,Poslovni prostor,Pisarna,1897,,91.0,360000.0,Abaka d.o.o.,ljubljana-mesto
"LJ. CENTER, KOPITARJEVA ULICA",Prodaja,Poslovni prostor,Ordinacija,1981,,62.0,109900.0,Nepremičnine Plus d.o.o.,ljubljana-mesto
"LJ. CENTER, KOTNIKOVA ULICA",Prodaja,Poslovni prostor,Pisarna,1962,,960.0,1400.0,S-Invest d.o.o.,ljubljana-mesto
"LJ. CENTER, KOTNIKOVA ULICA",Prodaja,Poslovni prostor,Pisarna,1962,,1500.0,1400.0,S-Invest d.o.o.,ljubljana-mesto
"LJ. CENTER, KRAKOVO",Prodaja,Stanovanje,enosobno,1897,,42.0,180000.0,Rojal invest d.o.o.,ljubljana-mesto
"LJ. CENTER, KRAKOVSKI NASIP 10 1000 LJUBLJAN",Prodaja,Poslovni prostor,Neživilska trgovina,1890,30.0,55.0,247500.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, LEDINA, KOTNIKOVA 5",Prodaja,Poslovni prostor,Prostor za storitve,1993,,26.0,61900.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, MALA ULICA",Prodaja,Stanovanje,štirisobno,1991,,98.7,375000.0,Agencija Vitraž d.o.o.,ljubljana-mesto
"LJ. CENTER, MALI TRG",Prodaja,Stanovanje,dvosobno,1991,,71.0,375000.0,Avenija nepremičnin d.o.o.,ljubljana-mesto
"LJ. CENTER, MASARYKOVA 14",Prodaja,Poslovni prostor,Pisarna,2002,,184.5,295000.0,"Salomon nepremičnine, Anže Nahtigal, s.p.",ljubljana-mesto
"LJ. CENTER, MESARSKA CESTA",Prodaja,Stanovanje,garsonjera,2007,,28.8,107500.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, MESARSKA CESTA",Prodaja,Stanovanje,Drugo,2007,,207.7,490000.0,LJUBLJANA NEPREMIČNINE d.o.o.,ljubljana-mesto
"LJ. CENTER, MESARSKA ULICA",Prodaja,Poslovni prostor,Prostor za storitve,2006,,142.7,220000.0,AKTIVA RE d.o.o.,ljubljana-mesto
"LJ. CENTER, MESARSKA ULICA",Prodaja,Stanovanje,štirisobno,2006,,160.7,485000.0,LJUBLJANA NEPREMIČNINE d.o.o.,ljubljana-mesto
"LJ. CENTER, MESTNI TRG",Prodaja,Stanovanje,enosobno,1800,,80.0,280000.0,Landart d.o.o.,ljubljana-mesto
"LJ. CENTER, MESTNI TRG",Prodaja,Stanovanje,dvoinpolsobno,1459,,86.0,288000.0,"Komfort skupina d.o.o., nepremičnine",ljubljana-mesto
"LJ. CENTER, MESTNI TRG",Prodaja,Stanovanje,trisobno,1950,,123.7,360000.0,Realia d.o.o.,ljubljana-mesto
"LJ. CENTER, MESTNI TRG",Prodaja,Stanovanje,triinpolsobno,1550,,123.7,360000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal",ljubljana-mesto
"LJ. CENTER, MESTNI TRG",Prodaja,Stanovanje,štiriinpolsobno,1800,,139.5,649000.0,"Oridom nepremičnine, Ivan Orešnik s.p.",ljubljana-mesto
"LJ. CENTER, MESTNI TRG",Prodaja,Stanovanje,štirisobno,1500,,142.0,480000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, MESTNI TRG",Prodaja,Stanovanje,štirisobno,1751,,147.55,219000.0,ABC nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, MESTNI TRG",Prodaja,Stanovanje,štirisobno,1500,,154.9,620000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, MIKLOŠIČEVA",Prodaja,Stanovanje,petsobno,1907,,192.0,830000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, MIRNI DEL CENTRA MESTA",Prodaja,Poslovni prostor,Drugo,1940,594.0,201.0,830000.0,"RE/MAX Comercial Slovenija, RMC d.o.o.",ljubljana-mesto
"LJ. CENTER, NAJEMNIK",Prodaja,Poslovni prostor,Prostor za storitve,1800,,79.0,380000.0,"NIVA, nepremičninsko posredovanje, Niko Banović s.p.",ljubljana-mesto
"LJ. CENTER, NAZORJEVA, PRI HOTELU UNION",Prodaja,Stanovanje,trisobno,1905,,128.3,730000.0,ABC nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, NEBOTIČNIK",Prodaja,Stanovanje,trisobno,1933,,81.8,320000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona",ljubljana-mesto
"LJ. CENTER, NEPOSREDNJA BLJIŽ. GORNJEGA TRGA",Prodaja,Hiša,Vrstna,1869,253.0,237.5,410000.0,"Lobodas, posredništvo in storitve d.o.o.",ljubljana-mesto
"LJ. CENTER, NJEGOŠEVA CESTA, BLIŽINA UKC",Prodaja,Stanovanje,triinpolsobno,1927,,103.7,320000.0,"ENOTA real estate, nepremičninsko posredovanje, Eva Golc, s.p",ljubljana-mesto
"LJ. CENTER, OB SLOVENSKI",Prodaja,Poslovni prostor,Prostor za storitve,1965,,12.6,5000.0,Nepremičnine Plus d.o.o.,ljubljana-mesto
"LJ. CENTER, ODLIČNA IN MIRNA LOKACIJA V CENTRU",Prodaja,Stanovanje,triinpolsobno,1650,,74.1,235000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, ODLIČNA LOKACIJA",Prodaja,Stanovanje,štirisobno,1971,,133.5,399000.0,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, POD GOLOVCEM",Prodaja,Stanovanje,trisobno,1906,,67.0,189000.0,RCN d.o.o.,ljubljana-mesto
"LJ. CENTER, POD GOLOVCEM",Prodaja,Stanovanje,dvosobno,2019,,84.6,270000.0,Agencija Katja d.o.o.,ljubljana-mesto
"LJ. CENTER, POD GOLOVCEM",Prodaja,Stanovanje,trisobno,2019,,101.55,380000.0,Agencija Katja d.o.o.,ljubljana-mesto
"LJ. CENTER, POD GOLOVCEM",Prodaja,Stanovanje,štirisobno,2019,,140.26,515000.0,Agencija Katja d.o.o.,ljubljana-mesto
"LJ. CENTER, POD GOLOVCEM",Prodaja,Stanovanje,trisobno,2019,,140.26,515000.0,Agencija Katja d.o.o.,ljubljana-mesto
"LJ. CENTER, POD GOLOVCEM",Prodaja,Stanovanje,štirisobno,2019,,157.5,550000.0,Agencija Katja d.o.o.,ljubljana-mesto
"LJ. CENTER, PODHOD AJDOVŠČINA",Prodaja,Poslovni prostor,Prostor za storitve,2003,,178.0,1100.0,Euromark-a d.o.o.,ljubljana-mesto
"LJ. CENTER, POLJANSKA CESTA",Prodaja,Stanovanje,dvosobno,1860,,55.2,165000.0,"Abstract nepremičnine, Igor Kerin s.p.",ljubljana-mesto
"LJ. CENTER, PRAŽAKOVA ULICA",Prodaja,Stanovanje,dvosobno,1929,,62.71,130000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, PRESTIŽNI DEL MESTA",Prodaja,Hiša,Dvostanovanjska,1940,594.0,201.0,830000.0,"RE/MAX Comercial Slovenija, RMC d.o.o.",ljubljana-mesto
"LJ. CENTER, PRESTIŽNI FERANTOV VRT",Prodaja,Stanovanje,trisobno,1975,,75.1,259000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, PREŠERNOVA - POGLED NA GRAD, ROŽNIK",Prodaja,Stanovanje,triinpolsobno,1895,,98.0,398888.0,Domart RE d.o.o.,ljubljana-mesto
"LJ. CENTER, PREŠERNOVA CESTA",Prodaja,Stanovanje,trisobno,1890,,104.9,428000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, PRI POLIKLINIKI",Prodaja,Stanovanje,enosobno,1901,,30.0,78000.0,ALEA nepremičninska družba d.o.o.,ljubljana-mesto
"LJ. CENTER, PRI UKC LJ",Prodaja,Poslovni prostor,Kombiniran prostor,1904,,25.62,85000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, PRI ŽELEZNIŠKI IN AVTOBUSNI POST",Prodaja,Poslovni prostor,Gostinski lokal,1930,,147.6,480000.0,"RE/MAX Commercial Slovenija, RMC d.o.o.",ljubljana-mesto
"LJ. CENTER, PRIMERNO ZA INVESTICIJO",Prodaja,Hiša,Vrstna,1800,3129.0,185.5,1000000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
"LJ. CENTER, PRITLIČJE Z IZLOŽBENIMI OKNI",Prodaja,Poslovni prostor,Pisarna,2005,,46.3,149000.0,"INBA, nepremičninska družba, d.o.o.",ljubljana-mesto
"LJ. CENTER, PRULE",Prodaja,Stanovanje,dvosobno,1965,,53.1,155000.0,"Nepremičnine M8, Lea Kavalič s.p.",ljubljana-mesto
"LJ. CENTER, PRULE",Prodaja,Stanovanje,triinpolsobno,1932,,107.0,258000.0,Agencija Jakkra-n d.o.o.,ljubljana-mesto
"LJ. CENTER, PRULE",Prodaja,Poslovni prostor,Večji poslovni kompleks,1800,728.0,633.07,620000.0,Roni nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, PRULE",Prodaja,Hiša,Drugo,1800,728.0,633.07,620000.0,Roni nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, RESLJEVA CESTA",Prodaja,Stanovanje,petsobno,1843,,313.9,1000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, RESLJEVA CESTA 48",Prodaja,Stanovanje,dvoinpolsobno,1895,250.0,50.0,4500.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, RESLJEVA ULICA",Prodaja,Stanovanje,dvoinpolsobno,1900,,91.6,170000.0,Rojal invest d.o.o.,ljubljana-mesto
"LJ. CENTER, ROZMANOVA ULICA",Prodaja,Stanovanje,trisobno,1960,,71.0,195000.0,"Erjavec nepremičnine, Erjavec Dušan s.p.",ljubljana-mesto
"LJ. CENTER, ROŽNA DOLINA",Prodaja,Stanovanje,štirisobno,2019,,130.29,695000.0,Rocco nepremičnine d.o.o.,ljubljana-mesto
"LJ. CENTER, ROŽNA DOLINA",Prodaja,Hiša,Vrstna,1968,231.0,185.0,452000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, ROŽNA DOLINA",Prodaja,Hiša,Dvojček,1960,490.0,195.5,495000.0,Svet Real d.o.o.,ljubljana-mesto
"LJ. CENTER, S PARKIRNIM MESTOM",Prodaja,Stanovanje,dvoinpolsobno,1928,,67.9,245000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
"LJ. CENTER, SITULA",Prodaja,Stanovanje,trisobno,2012,,105.7,398000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal",ljubljana-mesto
"LJ. CENTER, SITULA",Prodaja,Stanovanje,trisobno,2012,,105.7,410000.0,Impressa d.o.o.,ljubljana-mesto
"LJ. CENTER, SLOMŠKOVA ULICA",Prodaja,Stanovanje,enosobno,1993,,42.9,135000.0,ZWELO online nepremičninske storitve d.o.o.,ljubljana-mesto
"LJ. CENTER, SLOMŠKOVA ULICA 15",Prodaja,Stanovanje,trisobno,1940,250.0,82.0,340000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, SLOVENSKA",Prodaja,Stanovanje,trisobno,1956,,106.45,400000.0,Akustika group d.o.o.,ljubljana-mesto
"LJ. CENTER, SLOVENSKA CESTA",Prodaja,Poslovni prostor,Pisarna,1965,,51.9,2500.0,Nepremičnine Plus d.o.o.,ljubljana-mesto
"LJ. CENTER, SLOVENSKA CESTA - BLIŽINA BORZNE",Prodaja,Poslovni prostor,Pisarna,1970,,552.0,1714.0,Rojal invest d.o.o.,ljubljana-mesto
"LJ. CENTER, SLOVENSKA CESTA 51",Prodaja,Poslovni prostor,Kombiniran prostor,1950,,55.0,449000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, SLOVENSKA CESTA 54",Prodaja,Poslovni prostor,Prostor za storitve,1970,,454.15,1000000.0,Banka Intesa Sanpaolo d.d.,ljubljana-mesto
"LJ. CENTER, SLOVENSKA CESTA 58",Prodaja,Poslovni prostor,Pisarna,1972,,262.5,620000.0,Elektro Ljubljana d.d.,ljubljana-mesto
"LJ. CENTER, STARA",Prodaja,Stanovanje,dvosobno,1600,,76.9,300000.0,"Komfort skupina d.o.o., nepremičnine",ljubljana-mesto
"LJ. CENTER, STARO MESTNO JEDRO",Prodaja,Stanovanje,štirisobno,1700,,100.0,367000.0,Arhidea d.o.o.,ljubljana-mesto
"LJ. CENTER, STARO MESTNO JEDRO",Prodaja,Hiša,Vrstna,1860,221.0,212.0,540000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, STILSKO STAROMEŠČANSKO STANOVANJE",Prodaja,Stanovanje,štiriinpolsobno,1930,,125.0,460000.0,ABC nepremičnine d.o.o.,ljubljana-mesto
